"ranking","name","%break_points_saved","points_won","total_points","Matches_played.x","%games_won(receive)","games_won_receiving","total_games_receiving","Matches_played.y","%games_won(serve)","games_won_serving","total_games_serving","Matches_played.x.x","Aces_number","Matches_played.y.y","1st_serve_win_%","Points_won","Total_points","Matches_played","Index","Titles","Wins","Losses"
95,"Duckworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"183","24","183","24","","",NA,NA,NA,NA
96,"Wild","63.64%","210","330","45","18.34%","97","529","45","77.61%","416","536","45","242","45","242","45","","","0.333","0",3,6
97,"Fognini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","26","115","26","","",NA,NA,NA,NA
98,"Shevchenko","56.52%","195","345","48","19.93%","115","577","48","73.96%","426","576","48","258","48","258","48","","","0.333","0",4,8
99,"Monteiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","21","107","21","","",NA,NA,NA,NA
100,"Basavareddy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","3","20","3","","","0.375","0",3,5
101,"McDonald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","17","65","17","","",NA,NA,NA,NA
102,"Kotov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"159","41","159","41","","",NA,NA,NA,NA
103,"Dellien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"Eubanks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"278","29","278","29","","",NA,NA,NA,NA
105,"Jong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","7","49","7","","",NA,NA,NA,NA
106,"Pouille",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","6","33","6","","",NA,NA,NA,NA
107,"Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","3","80","3","","",NA,NA,NA,NA
107,"Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","12","76","12","","",NA,NA,NA,NA
108,"Lajovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","34","83","34","","","0.375","0",3,5
109,"Busta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","15","53","15","","",NA,NA,NA,NA
110,"Galán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133","23","133","23","","",NA,NA,NA,NA
111,"Boyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Coric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"208","31","208","31","","",NA,NA,NA,NA
113,"Hanfmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"188","39","188","39","","",NA,NA,NA,NA
114,"Opelka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","13","222","13","","","0.615","0",8,5
115,"Tseng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Holt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Tirante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54","12","54","12","","",NA,NA,NA,NA
118,"Cazaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230","23","230","23","","",NA,NA,NA,NA
